;Open;High;Low;Close;Date;Values
2023-01-12 19:05:01;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:05:02;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:05:15;7826,8;7826,8;7826,8;7826,8;;
2023-01-12 19:05:25;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:05:26;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:05:31;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:05:48;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:05:50;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:05:52;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:05:55;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:05:56;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:05:58;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:06:00;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:06:01;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:06:02;7825,8;7827,8;7825,8;7827,8;;
2023-01-12 19:06:03;7827,8;7828,3;7827,8;7828,3;;
2023-01-12 19:06:04;7827,8;7828,3;7827,8;7828,3;;
2023-01-12 19:06:05;7828,3;7828,8;7828,3;7828,3;;
2023-01-12 19:06:06;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:06:08;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:06:09;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:06:13;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:06:14;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:06:18;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:06:20;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:06:21;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:06:22;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:06:24;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:06:35;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:06:36;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:06:40;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:06:44;7829,3;7829,3;7828,8;7828,8;;
2023-01-12 19:07:02;7828,3;7828,8;7828,3;7828,8;;
2023-01-12 19:07:05;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:07:06;7829,3;7829,3;7828,8;7828,8;;
2023-01-12 19:07:27;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:07:31;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:07:38;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:07:39;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:07:40;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:07:44;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:07:45;7829,8;7829,8;7829,8;7829,8;;
2023-01-12 19:08:03;7829,3;7829,8;7829,3;7829,8;;
2023-01-12 19:08:06;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:08:08;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:08:10;7829,3;7829,3;7829,3;7829,3;;
